Strain,Company,Types,Categories,THC level,Price,Feelings,Flavor,Description,THC level numeric,Price numeric
Bubble Hash,Hepworth,Hybrid,Concentrates,33.30%,$18.00 ,"Focused,Happy,Relaxed,Energetic,Inspired,Uplifted",Not Specified,"Rolled up and ready to smoke, Pre-Roll packs are a convenient and effective way to consume cannabis. Pre-Roll packs generally contain smaller pre-rolls so that each can be consumed in one sitting.",33,18
Frosted Hash Ball,Silly Nice,Hybrid,Concentrates,50%,$50.00 ,"Energetic,Happy,Relaxed,Calm",Not Specified,"Indulge in the epitome of cannabis luxury with our exquisite 1-gram Frosted Hash Ball. Meticulously handcrafted using artisanal techniques, this hash is a testament to unparalleled quality and craftsmanship. Imbued with a full spectrum of cannabinoids, it delivers a rich and robust high that captivates the senses and elevates the experience to new heights.With a potency boasting an impressive 50% THC content, our Frosted Hash Ball offers a potent and powerful journey for cannabis enthusiasts seeking the ultimate in intoxicating bliss. Each puff promises to envelop you in a blanket of euphoria and relaxation, transporting you to a state of pure bliss and tranquility.Whether you're a seasoned connoisseur or a curious newcomer, our Frosted Hash Ball invites you to embark on a journey of exploration and discovery. Savor the richness of its flavor profile, with nuanced notes of earthiness and spice dancing on the palate with every inhale.Elevate your cannabis experience with Silly Nice's Frosted Hash Ball?a true embodiment of luxury and refinement in every puff.",50,50
THCa Diamond Powder | 0.5g,Silly Nice,Hybrid,Concentrates,84%,$44.00 ,Happy,Not Specified,"Unlock a new dimension of potency with Silly Nice Diamond Powder. This isn't just another concentrate; it's a revolution in purity and strength, crafted for those who demand the best. Manufactured by Veterans Holdings in Gloversville, NY, Diamond Powder takes the throne as the pinnacle of THCa crystals, setting new industry standards.**THCa Explained**THCa stands for Tetrahydrocannabinolic acid - the non-psychoactive hero in raw cannabis. Unlike its famous cousin THC, THCa doesn't get you high until it's heated. When you blaze or bake it, THCa transforms into THC, offering you potency like never before. It's the core of what makes Silly Nice Diamond Powder a game-changer for enthusiasts seeking a pure, intense experience.**Potency & Purity**With a stunning 96.03% THCa and total THC hitting the 84.48% mark, Diamond Powder is a titan of potency. It's all about the raw power of cannabis, stripped down to its most potent form. Silly Nice ensures what you get is all killer, no filler ? just unmatched clarity and strength in every granule.**How to Elevate Your Game**- **Joints, Bowls, Bongs:** Spark up your flower game by sprinkling Diamond Powder into your smoke. It's an instant upgrade, transforming ordinary sessions into extraordinary escapes.- **Dabbing & Vaporizing:** Dive deep into flavor and effects with a dab rig or vape. Diamond Powder delivers a clean, intense hit that's all about the pure THCa experience.- **Edibles & Topicals:** Get creative in the kitchen or with your self-care routine. Heating turns THCa into THC, infusing edibles with unmatched potency, while topical application explores THCa's therapeutic side.**Quality Without Compromise**Every batch from Veterans Holdings meets rigorous testing standards, ensuring that Silly Nice Diamond Powder is not only potent but also pure and safe. It's a commitment to excellence that you can see, smell, and feel.Silly Nice isn't just a brand; it's a statement. With Diamond Powder, we invite you to go beyond the ordinary and explore the extraordinary possibilities of cannabis. Whether you're rolling it, dabbing it, or infusing it, prepare for an experience that redefines the limits of potency and purity.**Dare to Discover**Silly Nice Diamond Powder is more than a product. It's a journey to the essence of what cannabis can be. Made for those who aren't afraid to push boundaries and explore the heights of what cannabis concentrates can offer. Welcome to the future of cannabis with Silly Ni",84,44
Frosted Hash Ball | 1g,Silly Nice,Hybrid,Concentrates,50%,$50.00 ,Relaxed,Not Specified,"Overview: The Frosted Hash Ball is the pinnacle of innovation from Silly Nice, brought to you by Jason Ambrosino, the industry maverick behind Veteran Holdings. Utilizing expertise honed at the forefront of cannabis processing and manufacturing, this concentrate is derived from select 45-160 micron bubble hash, made using fresh frozen material from Full Spectrum Ag. Each hash ball is hand coated in THCA isolate, resulting in a oogle worthy frosted appearance. This unique process enhances the potency, allowing for a deep and immersive experience, sometimes allowing the resin to fully absorb the powder for an unmatched potency profile.Potency:Total Cannabinoids: 55.63% (556.3 mg/g)Total THC: 49.62% (496.2 mg/g)Total CBD: 0.07585% (0.7585 mg/g)Terpene Profile and Effects: The Frosted Hash Ball boasts an intricate terpene profile, carefully curated to offer a symphony of effects and flavors:Beta-caryophyllene (0.8854%): A spicy, peppery essence that contributes to stress relief and anxiety reduction.Limonene (0.7012%): A burst of citrus to elevate mood and alleviate stress.Ocimene (0.3683%): Sweet, herbaceous undertones for an uplifting effect.Terpinolene (0.2777%): A harmonious blend of pine, floral, and citrus, promoting relaxation and sleep.Together, these terpenes craft a rich, balanced effect that is simultaneously relaxing and euphoric, with a flavor profile that skillfully balances spicy, citrus, and earthy tones.Quality Assurance: Rigorously tested for potency and terpene content, the Frosted Hash Ball meets the highest standards of quality and safety. Our commitment to excellence ensures each batch is free from microbial contamination, heavy metals, and residual solvents, offering you a pure and potent product.Usage Instructions: Due to its high potency, the Frosted Hash Ball is recommended for those with experience in cannabis concentrates. It can be enjoyed in small quantities either by itself or complementing flower in a bowl, joint, or vaporizer. Start with a small amount to gauge its potent effects.",50,50
Grapefruit | 1:1 | Single,ayrloom,Hybrid,Drink,20mg,$3.50 ,"Calm,Happy,Relaxed,Energetic",Not Specified,"Classic Grapefruit flavor, but make it pink! The perfectly balanced combination of sweet and tart, it?ll leave you (and your taste buds) uber refreshed. Fast Acting, Gluten Free, Vegan.",20,3.5
Pineapple Mango | 1:1 | Single,ayrloom,Hybrid,Drink,20mg,$3.50 ,"Calm,Happy,Relaxed,Energetic",Not Specified,"Classic Grapefruit flavor, but make it pink! The perfectly balanced combination of sweet and tart, it?ll leave you (and your taste buds) uber refreshed. Fast Acting, Gluten Free, Vegan.",20,3.5
Black Cherry | UP | Single,ayrloom,Hybrid,Drink,20mg,$5.00 ,"Relaxed,Happy,Calm,Energetic",Not Specified,"Electrifyingly crisp and slightly tart. Unexpectedly smooth and never too sweet, it packs a flavor punch with every sip! Fast Acting Gluten Free, Vegan",20,5
Lemonade | UP | Single,ayrloom,Hybrid,Drink,20mg,$5.00 ,"Calm,Happy,Relaxed,Energetic",Not Specified,"INGREDIENTS FILTERED WATER, SUGAR, LEMON JUICE CONCENTRATE, NATURAL FLAVORS, CANNABIS EXTRACT, POTASSIUM SORBATE (PRESERVATIVE), ASCORBIC ACID.",20,5
Honeycrisp | UP | Single,ayrloom,Hybrid,Drink,10mg,$5.00 ,"Energetic,Happy,Calm,Relaxed",Not Specified,"As each day shortens, the signs of fall settle in. Green leaves shift to crimson and gold, evenings get brisk, and apples plump on their tree branches.",10,5
Half & Half | UP | 2:1 | Single | 10mg,ayrloom,Hybrid,Drink,10mg,$4.50 ,Happy,Not Specified,"A hole in one that would make arnie proud. half lemonade, half tea, this delightfully refreshing beverage is steeped in rich tradition.",10,4.5
